Paper_Num,Citation_Key,Short_Name,In_Final_30,OIA_Org_Structure,OIA_Op_Methodology,Original_Org_Structure,Framework,Reasoning_Protocols,Workflow_Patterns,State_Memory,Modality,Num_Agents,Asimow_Phase,Human_In_Loop
1,feng2025turbulence,turbulence.ai,Yes,SEQUENTIAL,STAGED-PIPELINE,"Hierarchical, Collaborative, and Sequential (3-stage orchestrated pipeline)",Not Specified builds on OpenFOAMGPT 2.0,"Chain-of-Thought (CoT), Self-Reflection, Retrieval-Augmented Generation (RAG)","Closed Control Loop, Error-Driven Refinement, and Reflection Loop.",Shared memory for specialized agents; Prompt Pool for case definitions; Idea arc,"Text, CFD logs, Images (VLM feedback), LaTeX, PDF,,,.","12 (Idea Gen, Critique, Pre-pr",Analysis - Synthesis - Evaluation,No
2,ni2024mechagents,MechAgents,Yes,ORCHESTRATED,ITERATIVE-FEEDBACK,"Hierarchical, Collaborative, and Human in the Loop (uses UserProxyAgent and division of labor)",AutoGen,"Self-Correction, Mutual Correction, Goal Decomposition, Division of Labor",Self-Correction Loop and Mutual Correction via autonomous group chat.,Continuous conversation (short-term); Prompt history and Vector embedding databa,"Text, Python code (FEniCS), PNG images, VTK files,,,.",2 to 7 (Baseline uses UserProx,Analysis - Synthesis - Evaluation,Yes
3,cui2024large,Objective Oriented Control Design,Yes,ORCHESTRATED,ITERATIVE-FEEDBACK,Hierarchical and Collaborative (Manager-functional agent model),"Not Specified (AutoGen; uses ""Manager/Executor"" ag","Problem Decomposition, Iterative Refinement, Task Planning",Refine-until-Success (Iterative refinement based on simulation errors).,"Context window management (""understand the context""); Short-term memory via agen","Text (natural language), Modelica model files, Python code,,","6 (Manager, Objective Design, ",Analysis - Synthesis - Evaluation,No
4,ghafarollahi2024rapid,Automated Alloy Design,Yes,NETWORKED,ITERATIVE-FEEDBACK,"Hierarchical, Collaborative, and Human in the Loop",AutoGen,"Goal Decomposition, Planning Mechanisms, Critiquing/Reviewing",Iterative Feedback Loop and Continuous Evaluation/Refinement.,Core memory to store conversations and tool responses (retained throughout proce,"Text, Multimodal data (GNN graphs), Images, CSV, STL,,,.","7 (User, AI Assistant, Planner",Analysis - Synthesis - Evaluation,Yes
5,hu2024multi,Materials Laws Discovery,Yes,NETWORKED,ITERATIVE-FEEDBACK,Hierarchical and Collaborative (Generation-Translation-Reflection loop),LangChain,"Depth-First Search (DFS), Self-Reflection, Tree-of-Thoughts (ToT) inspiration, I",Depth-First Search (DFS) (as a framework-level optimization strategy) and Reflec,DFS trajectory memory (sequential search paths); Long-term memory for best-perfo,"Text (mathematical formulas), numerical data, Python code,,.","3 (Generation, Translation, an",Analysis - Synthesis,No
6,kant2025develop,AI Agents for System Engineering in Fact,Yes,ORCHESTRATED,STAGED-PIPELINE,"Hierarchical, Collaborative, and Human in the Loop (mirrors VSM 5-level hierarchy)",Not Specified (Custom similar to Voyager),"Goal Decomposition, Long-horizon Planning, Memory Management",Viable System Model (VSM) 5-level Hierarchy and Continuous Feedback Loops.,Recall systems for long-context data; Memory management for long-horizon episode,"Real-time 2D visualization, Text, JSON,,.",2 to 5 (N/A; best guess is 2 t,Analysis - Synthesis,Yes
7,ocker2025idea,FROM IDEA TO CAD,Yes,SEQUENTIAL,STAGED-PIPELINE,"Hierarchical, Collaborative, Sequential, and Human in the Loop",Not Specified (Python/OpenAI SDK; custom iterative,"Reflexion, Requirement Elicitation, Planning, Visual Verification Loops",V-Model Architecture and Iterative Validation Loop with human-in-the-loop.,Reflexion (internal feedback); Iterative validation loop (human-in-the-loop cont,"Text, Sketches/Images, CAD code (CadQuery), STL files,,.","3 (RequirementsEngineer, CadEn",Analysis - Synthesis,Yes
8,tian2025multi,CrossMatAgent,Yes,ORCHESTRATED,ITERATIVE-FEEDBACK,"Hierarchical, Collaborative, and Sequential (Supervisor-led team hierarchy)",LangChain,"Multimodal Reasoning, Self-Correction, Pattern Decomposition, Reflection",Supervisor-Managed Iterative Feedback and Restart-at-Failure (Supervisor identif,Chat history (context window managed with an upper bound of 20); Memory node wit,"Text, Images (SEM, 2D/3D rendered), Latent space vectors,,.","4 to 5 (Describer, Architect, ",Analysis - Synthesis,No
9,ho2025marco,Marco,Yes,ORCHESTRATED,GRAPH-ROUTED,"Hierarchical, Collaborative, and Hybrid (configurable dynamic/static task graphs)",AutoGen,"ReAct (Reasoning + Acting), Planning, Task Decomposition, Memory Management",Graph-Based Task Solving (Static and Dynamic task graphs) and Optimization Loops,"Agent-specific configurations with memory; Long-term memory; Chat History,,.","Text, Waveform data, Graph representations (TCRG),,.",1 to 6+ (Task-dependent; lists,Analysis - Synthesis,No
10,bogachov2025lightweight,Small Language Graph,Yes,ORCHESTRATED,GRAPH-ROUTED,Hierarchical and Collaborative (Orchestrator-expert node structure),LangGraph,"Knowledge Isolation, Retrieval-Augmented Generation (RAG), N/A (ReAct)",Orchestrator-Expert Routing (Queries are routed via nodes in a graph).,N/A (Does not have memory or keep conversational context; each query is standalo,"Text (engineering procedures/manuals),,.",8 (1 Orchestrator and 7 domain,Analysis ,No
